,precision,recall,f1-score,support
Bình thường,0.32659251769464104,0.3450854700854701,0.3355844155844156,936.0
Rất tệ,0.5531088082901554,0.6065340909090909,0.5785907859078591,704.0
Tuyệt vời,0.7582837723024639,0.6730769230769231,0.7131442269276868,2652.0
Tệ,0.3238095238095238,0.379585326953748,0.34948604992657856,627.0
Tốt,0.37508747375787266,0.3941176470588235,0.38436715668698457,1360.0
accuracy,0.5269947443860488,0.5269947443860488,0.5269947443860488,0.5269947443860488
macro avg,0.46737641917093137,0.4796798916168111,0.4722345270067049,6279.0
weighted avg,0.5445445608351435,0.5269947443860488,0.5342507568843183,6279.0
