,precision,recall,f1-score,support
Bình thường,0.35106382978723405,0.35294117647058826,0.352,935.0
Rất tệ,0.6061493411420205,0.5880681818181818,0.5969718817591925,704.0
Tuyệt vời,0.737876254180602,0.6660377358490566,0.700119000396668,2650.0
Tệ,0.375594294770206,0.37799043062200954,0.3767885532591415,627.0
Tốt,0.3643600734843846,0.43653705062362436,0.397196261682243,1363.0
accuracy,0.5320910973084886,0.5320910973084886,0.5320910973084886,0.5320910973084886
macro avg,0.48700875867288945,0.4843149150766921,0.484615139419449,6279.0
weighted avg,0.5482507236142342,0.5320910973084886,0.5386731140907821,6279.0
